answer,subject,choice_3,choice_2,choice_1,choice_0,question
0,international_law,آئی سی جے نے کبھی اس مسئلے پر توجہ نہیں دی۔,نکاراگوا کیس میں آئی سی جے نے جمع تھیوری کو مسترد کر دیا۔,مسلح حملے کے تصور سے مراد ایک ہی حملہ ہے، نہ کہ مسلح قوت کے متعدد چھوٹے واقعات,آئی سی جے جمع تھیوری کا مخالف نہیں تھا۔,کیا آئی سی جے اس خیال کے خلاف ہے کہ مسلح حملہ کم شدت کے، پھر بھی مجموعی طور پر، مسلح قوت کے ایک سلسلے کے ذریعے ہو سکتا ہے؟
2,international_law,علاقائی یا خصوصی عدالتوں کو لیکس اسپیشلز کے اصول کے مطابق دیگر تمام عدالتوں پر ترجیح حاصل ہے۔,چونکہ بین الاقوامی قانون میں کوئی لیس پینڈنس قاعدہ نہیں ہے اور تمام تنازعات کے فریقین کی رضامندی پر منحصر ہے، اس لیے بین الاقوامی عدالتوں اور ٹربیونلز میں کوئی ترجیح یا درجہ بندی نہیں ہے۔,بین الاقوامی عدالت انصاف کی تعریف کے لحاظ سے کسی دوسری عدالت یا ٹریبونل پر ترجیح ہے۔,لیس پینڈنس کے اصول کے مطابق، عدالت یا ٹربیونل جو تنازعہ کو پہلے ضبط کرتا ہے، اس کا فیصلہ کرنے کا خصوصی دائرہ اختیار رکھتا ہے۔,کیا بین الاقوامی عدالتوں اور ٹربیونلز میں کوئی ترجیح ہے؟
0,international_law,تیسری ریاستیں کسی دوسرے EEZ کے اندر مچھلی کے لیے آزاد ہیں، سوائے مخصوص مخصوص علاقوں کے,ساحلی ریاست اپنے EEZ کے اندر صرف پڑوسی ریاستوں کو ماہی گیری تک رسائی دے گی۔,تیسری ریاستوں کو کبھی بھی دوسری ریاست کے EEZ میں ماہی گیری تک رسائی حاصل نہیں ہو سکتی,جب ساحلی ریاست 'مکمل قابل اجازت کیچ' کی کٹائی نہیں کر سکتی ہے، تو ساحلی ریاست کو ترقی پذیر اور خشکی سے بند ریاستوں کو ترجیح کے ساتھ اس سرپلس تک دوسری ریاستوں کو رسائی دینا ہوگی۔,کیا تیسری ریاستوں کو کسی دوسری ریاست کے خصوصی اقتصادی زون میں ماہی گیری کے حقوق حاصل ہیں؟
2,international_law,استثنیٰ کا مقصد تمام جرائم کے سلسلے میں استثنیٰ کی پیشکش کرنا ہے۔,استثنیٰ ریاستوں کو دوسری ریاستوں کی عدالتوں میں مقدمہ چلانے سے بچاتا ہے۔,استثنیٰ ایک ریاست کو دوسرے کے حملے سے بچاتا ہے۔,استثنیٰ کا مقصد غیر ملکی سربراہان مملکت کو شرمندگی سے بچانا ہے۔,خودمختار استثنیٰ کا مقصد کیا ہے؟
2,international_law,یہ اس ملک پر مبنی دائرہ اختیار ہے جہاں قانونی شخص رجسٹرڈ تھا۔,یہ متاثرین کی قومیت کی بنیاد پر دائرہ اختیار ہے۔,یہ دائرہ اختیار ہے جہاں جرم کیا گیا تھا۔,یہ مجرم کی قومیت کی بنیاد پر دائرہ اختیار ہے۔,غیر فعال شخصیت کا دائرہ اختیار کیا ہے؟
1,international_law,عوام کے حقوق,ثقافتی حقوق,شہری اور سیاسی حقوق,سماجی اور معاشی حقوق,درج ذیل میں سے کس قسم کے حقوق کو پہلی نسل کے حقوق کے طور پر بیان کیا گیا ہے؟
1,international_law,ٹکڑا تب ہوتا ہے جب ریاستیں بین الاقوامی قانون کے کسی خاص اصول کی پاسداری سے متفق نہیں ہوتیں۔,ٹکڑا تب ہوتا ہے جب ریاستیں بین الاقوامی قانون کے ایک ہی اصول کی مختلف تشریحات قبول کرتی ہیں۔,متعدد قانونی حکومتوں (یعنی غیر ملکی سرمایہ کاری کے قانون اور انسانی حقوق کے قانون) کا ایک دوسرے سے الگ تھلگ رہ کر وجود میں آنا اور ترقی کرنا ممکن ہے، جو بالآخر بین الاقوامی قانون کے مختلف قوانین کی پیداوار پر منتج ہوتا ہے۔,بین الاقوامی قانون کے ٹکڑے ٹکڑے ہونے سے مختلف قانونی حکومتوں کے بین الاقوامی قانون کے یکساں قوانین لاگو ہونے کا خدشہ ہے۔,بین الاقوامی قانون کے 'فریکمنٹیشن' کا مسئلہ کیا ہے؟
1,international_law,فنکشنل استثنیٰ نجی اور سرکاری دونوں کارروائیوں کا احاطہ کرتا ہے جب تک کہ ان کی ریاست کی طرف سے منظوری دی جائے۔,فنکشنل استثنیٰ ریاست کا احاطہ کرتا ہے اور اتفاق سے ایکٹ بھی,فنکشنل استثنیٰ ایکٹ کا احاطہ کرتا ہے اور اتفاق سے اس فعل کا ارتکاب کرنے والے شخص کو بھی,فنکشنل استثنیٰ فرد کا احاطہ کرتا ہے لیکن عمل کا نہیں۔,فنکشنل (ریشن میٹیریا) استثنیٰ کیا ہے؟
0,international_law,بار بار غیر قانونی حملوں کی صورت میں اقوام متحدہ کی سلامتی کونسل پڑوسی ریاستوں کو اختیار دے گی کہ وہ صورت حال کو سدھارنے کے لیے جو بھی اقدامات ضروری سمجھیں,یہ قیاس کہ تمام غیر قانونی حملے اقوام متحدہ کی سلامتی کونسل کی قرارداد کے ذریعے مسلح قوت کے تابع ہوں گے۔,UNSC اراکین کے ووٹوں کی مخصوص تعداد کی بنیاد پر مضمر اجازت,جب کسی ریاست کو پہلے سے خبردار کیا گیا ہو تو مسلح افواج کی سلامتی کونسل کی منظوری کا قیاس,تقلید اجازت کا کیا مطلب ہے؟
3,international_law,جیریمی بینتھم,جان لاک,ایمانوئل کانٹ,ایلن گیرویت,کس فلسفی نے فطری حقوق کے نظریہ کو 'نن سینس آن سٹیلٹس' کہا؟
